year,Globalocean,NorthSea,BalticSea,MediterraneanSea,NorthAtlantic,BlackSea,RunningAvgyear
1940,-0.268507,-0.664205,-0.700819,-0.36478,-0.230502,0.052514,"Running avg, 11 years"
1941,-0.263749,-0.672278,-0.748428,-0.340673,-0.229913,3.1e-05,"Running avg, 11 years"
1942,-0.265965,-0.695897,-0.80217,-0.31868,-0.258726,-0.059769,"Running avg, 11 years"
1943,-0.27385,-0.706343,-0.880896,-0.357508,-0.25632,-0.146273,"Running avg, 11 years"
1944,-0.278494,-0.699633,-0.927348,-0.381102,-0.261882,-0.2743,"Running avg, 11 years"
1945,-0.283006,-0.724325,-0.911754,-0.350252,-0.28171,-0.307779,"Running avg, 11 years"
1946,-0.283067,-0.705097,-0.841711,-0.328879,-0.264273,-0.3044,"Running avg, 11 years"
1947,-0.287201,-0.675933,-0.777809,-0.286094,-0.244775,-0.305673,"Running avg, 11 years"
1948,-0.281966,-0.582623,-0.650491,-0.282957,-0.214112,-0.332584,"Running avg, 11 years"
1949,-0.29267,-0.606564,-0.658149,-0.314584,-0.200738,-0.377672,"Running avg, 11 years"
1950,-0.318729,-0.598475,-0.642939,-0.294009,-0.191883,-0.37415,"Running avg, 11 years"
1951,-0.340651,-0.651912,-0.725432,-0.308727,-0.197435,-0.43614,"Running avg, 11 years"
1952,-0.32676,-0.63928,-0.713241,-0.343631,-0.177,-0.427205,"Running avg, 11 years"
1953,-0.309475,-0.631171,-0.718996,-0.374147,-0.137722,-0.424892,"Running avg, 11 years"
1954,-0.29669,-0.564651,-0.635533,-0.38254,-0.132962,-0.436814,"Running avg, 11 years"
1955,-0.28847,-0.57895,-0.653541,-0.364678,-0.110251,-0.378644,"Running avg, 11 years"
1956,-0.275716,-0.555243,-0.629967,-0.380047,-0.092165,-0.361151,"Running avg, 11 years"
1957,-0.272264,-0.577697,-0.667773,-0.354462,-0.106541,-0.394377,"Running avg, 11 years"
1958,-0.271497,-0.611713,-0.649636,-0.363092,-0.146601,-0.381135,"Running avg, 11 years"
1959,-0.286116,-0.642537,-0.687908,-0.341273,-0.183487,-0.382705,"Running avg, 11 years"
1960,-0.284717,-0.668766,-0.70873,-0.324589,-0.20343,-0.385237,"Running avg, 11 years"
1961,-0.272568,-0.673546,-0.712603,-0.330402,-0.229051,-0.300778,"Running avg, 11 years"
1962,-0.263902,-0.614939,-0.593252,-0.293057,-0.250626,-0.174034,"Running avg, 11 years"
1963,-0.271037,-0.616228,-0.551294,-0.270884,-0.289534,-0.115007,"Running avg, 11 years"
1964,-0.26647,-0.606143,-0.5226,-0.277274,-0.343135,-0.117885,"Running avg, 11 years"
1965,-0.270545,-0.699666,-0.601505,-0.278818,-0.385377,-0.051206,"Running avg, 11 years"
1966,-0.28605,-0.707592,-0.61721,-0.314176,-0.442071,-0.04387,"Running avg, 11 years"
1967,-0.283837,-0.749405,-0.659585,-0.379273,-0.492968,-0.0408,"Running avg, 11 years"
1968,-0.27869,-0.69282,-0.559105,-0.42226,-0.512989,-0.0783,"Running avg, 11 years"
1969,-0.289548,-0.616126,-0.509779,-0.482863,-0.527264,-0.110866,"Running avg, 11 years"
1970,-0.288803,-0.58157,-0.414701,-0.538084,-0.549587,-0.065304,"Running avg, 11 years"
1971,-0.28769,-0.521991,-0.408687,-0.570272,-0.569339,-0.082484,"Running avg, 11 years"
1972,-0.280565,-0.516688,-0.42651,-0.616518,-0.591921,-0.202264,"Running avg, 11 years"
1973,-0.27645,-0.551474,-0.520992,-0.685848,-0.596167,-0.283404,"Running avg, 11 years"
1974,-0.264581,-0.629267,-0.64359,-0.708208,-0.589798,-0.290191,"Running avg, 11 years"
1975,-0.267281,-0.640801,-0.697947,-0.747857,-0.554333,-0.304936,"Running avg, 11 years"
1976,-0.261121,-0.638044,-0.726343,-0.768837,-0.530469,-0.313298,"Running avg, 11 years"
1977,-0.244549,-0.65204,-0.72698,-0.756531,-0.533559,-0.34933,"Running avg, 11 years"
1978,-0.234427,-0.653449,-0.737203,-0.758536,-0.51572,-0.391627,"Running avg, 11 years"
1979,-0.232861,-0.67463,-0.784034,-0.804842,-0.497063,-0.386498,"Running avg, 11 years"
1980,-0.222889,-0.718037,-0.921085,-0.787831,-0.473931,-0.462603,"Running avg, 11 years"
1981,-0.206245,-0.801023,-1.061399,-0.762034,-0.474541,-0.487173,"Running avg, 11 years"
1982,-0.177386,-0.864797,-1.167895,-0.747571,-0.442907,-0.530322,"Running avg, 11 years"
1983,-0.166757,-0.836901,-1.120908,-0.727506,-0.422395,-0.539372,"Running avg, 11 years"
1984,-0.154694,-0.747881,-0.997643,-0.679838,-0.407997,-0.545383,"Running avg, 11 years"
1985,-0.144439,-0.615758,-0.827799,-0.651401,-0.38726,-0.599475,"Running avg, 11 years"
1986,-0.137358,-0.5904,-0.756953,-0.620842,-0.388138,-0.619933,"Running avg, 11 years"
1987,-0.133366,-0.529112,-0.643716,-0.626864,-0.394021,-0.732837,"Running avg, 11 years"
1988,-0.122939,-0.551303,-0.641448,-0.659591,-0.386972,-0.77551,"Running avg, 11 years"
1989,-0.122444,-0.532213,-0.618178,-0.584136,-0.38793,-0.733374,"Running avg, 11 years"
1990,-0.105444,-0.47268,-0.581729,-0.507773,-0.370239,-0.717713,"Running avg, 11 years"
1991,-0.088955,-0.473839,-0.500283,-0.495955,-0.349572,-0.648804,"Running avg, 11 years"
1992,-0.064147,-0.360473,-0.386289,-0.469591,-0.297639,-0.690293,"Running avg, 11 years"
1993,-0.050444,-0.273793,-0.234129,-0.415955,-0.263522,-0.598028,"Running avg, 11 years"
1994,-0.050588,-0.217622,-0.161798,-0.359591,-0.236193,-0.524515,"Running avg, 11 years"
1995,-0.047644,-0.235349,-0.159401,-0.319591,-0.218769,-0.43692,"Running avg, 11 years"
1996,-0.044073,-0.243338,-0.153026,-0.295045,-0.194783,-0.345876,"Running avg, 11 years"
1997,-0.033852,-0.161427,-0.081357,-0.237773,-0.169994,-0.235763,"Running avg, 11 years"
1998,-0.015353,-0.103134,-0.104839,-0.125955,-0.107256,-0.142829,"Running avg, 11 years"
1999,-0.000457,-0.011342,-0.049117,-0.057773,-0.040534,-0.082788,"Running avg, 11 years"
2000,0.011814,0.039755,0.005477,-0.063227,0.018472,-0.096384,"Running avg, 11 years"
2001,0.015802,0.083867,0.05221,-0.0305,0.053617,-0.082477,"Running avg, 11 years"
2002,0.017928,0.206535,0.170276,0.024045,0.09117,-0.023261,"Running avg, 11 years"
2003,0.007595,0.231487,0.243242,0.056773,0.114545,0.08969,"Running avg, 11 years"
2004,0.00302,0.259156,0.281358,0.094045,0.103472,0.150419,"Running avg, 11 years"
2005,0.017168,0.206257,0.205685,0.114955,0.119799,0.182735,"Running avg, 11 years"
2006,0.022381,0.207089,0.169252,0.144955,0.121273,0.154403,"Running avg, 11 years"
2007,0.023481,0.186044,0.128619,0.170409,0.126787,0.159378,"Running avg, 11 years"
2008,0.023502,0.108366,0.093802,0.203136,0.129535,0.135759,"Running avg, 11 years"
2009,0.0283,0.136563,0.182553,0.222227,0.119072,0.208799,"Running avg, 11 years"
2010,0.025649,0.130309,0.207465,0.2495,0.109954,0.265685,"Running avg, 11 years"
2011,0.023456,0.130863,0.202217,0.290611,0.102085,0.306048,"Running avg, 11 years"
2012,0.021796,0.089394,0.174143,0.31825,0.089427,0.353682,"Running avg, 11 years"
2013,0.029683,0.040305,0.135742,0.3495,0.073024,0.379216,"Running avg, 11 years"
2014,0.041822,4.7e-05,0.020503,0.381167,0.050325,0.376776,"Running avg, 11 years"
